ID_Avaliacao;ID_Funcionario;Periodo;Nota_Geral;Competencia_Avaliada;Meta_Atingida_Pct;Avaliador_ID;Observacao;Ano;Semestre;Data_Referencia
AV-000001;FUNC-0002;2022-S1;3,9;Liderança;107,3;FUNC-0060;Entrega consistente;2022;1;2022-06-30
AV-000002;FUNC-0002;2022-S2;3,4;Trabalho em Equipe;116,8;FUNC-0037;Sem observação registrada;2022;2;2022-12-31
AV-000003;FUNC-0002;2023-S1;3,4;Conhecimento Técnico;117,2;FUNC-0024;Sem observação registrada;2023;1;2023-06-30
AV-000004;FUNC-0002;2023-S2;3,5;Conhecimento Técnico;79,2;FUNC-0028;Em desenvolvimento;2023;2;2023-12-31
AV-000005;FUNC-0002;2024-S1;3,4;Comunicação;110,7;FUNC-0036;Superou expectativas;2024;1;2024-06-30
AV-000006;FUNC-0002;2024-S2;3,7;Entrega de Resultados;107,9;FUNC-0005;Em desenvolvimento;2024;2;2024-12-31
AV-000007;FUNC-0003;2022-S1;2,4;Proatividade;88,7;FUNC-0034;Sem observação registrada;2022;1;2022-06-30
AV-000008;FUNC-0003;2022-S2;3,2;Conhecimento Técnico;96,5;FUNC-0034;Em desenvolvimento;2022;2;2022-12-31
AV-000009;FUNC-0003;2023-S1;3,3;Trabalho em Equipe;110,7;FUNC-0006;Dentro do esperado;2023;1;2023-06-30
AV-000010;FUNC-0003;2023-S2;2,9;Proatividade;100,1;FUNC-0006;Dentro do esperado;2023;2;2023-12-31
AV-000011;FUNC-0003;2024-S1;2,9;Entrega de Resultados;116,2;FUNC-0040;Superou expectativas;2024;1;2024-06-30
AV-000012;FUNC-0003;2024-S2;2,4;Conhecimento Técnico;108,6;FUNC-0040;Dentro do esperado;2024;2;2024-12-31
AV-000013;FUNC-0004;2022-S1;;Trabalho em Equipe;74,2;FUNC-0048;Sem observação registrada;2022;1;2022-06-30
AV-000014;FUNC-0004;2022-S2;;Comunicação;104,3;FUNC-0043;Sem observação registrada;2022;2;2022-12-31
AV-000015;FUNC-0004;2023-S1;;Proatividade;104,3;FUNC-0004;Sem observação registrada;2023;1;2023-06-30
AV-000016;FUNC-0004;2023-S2;;Conhecimento Técnico;109,8;FUNC-0051;Ótima colaboração com o time;2023;2;2023-12-31
AV-000017;FUNC-0004;2024-S1;;Comunicação;92,5;FUNC-0015;Ótima colaboração com o time;2024;1;2024-06-30
AV-000018;FUNC-0004;2024-S2;;Liderança;114,5;FUNC-0040;Precisa evoluir em gestão do tempo;2024;2;2024-12-31
AV-000019;FUNC-0005;2024-S1;2,5;Entrega de Resultados;89,9;FUNC-0023;Sem observação registrada;2024;1;2024-06-30
AV-000020;FUNC-0005;2024-S2;2,3;Comunicação;99,1;FUNC-0047;Ótima colaboração com o time;2024;2;2024-12-31
AV-000021;FUNC-0006;2023-S1;2,5;Orientação ao Cliente;72,8;FUNC-0033;Superou expectativas;2023;1;2023-06-30
AV-000022;FUNC-0006;2023-S2;2,3;Liderança;98,9;FUNC-0040;Em desenvolvimento;2023;2;2023-12-31
