ID_Treinamento;ID_Funcionario;Nome_Treinamento;Categoria;Carga_Horaria_h;Data_Inicio;Data_Fim;Status;Nota_Final;Modalidade;Duracao_Dias;flag_data_invalida
TR-000001;FUNC-0001;Finanças para Não Financeiros;Técnico;12;2021-08-06;2021-08-07;Concluído;8,3;EAD;1;False
TR-000002;FUNC-0003;Inglês Corporativo;Idioma;60;2024-06-14;2024-06-21;Concluído;7,4;EAD;7;False
TR-000003;FUNC-0003;Comunicação Não-Violenta;Comportamental;8;2021-07-20;2021-07-21;Em Andamento;;Presencial;1;False
TR-000004;FUNC-0003;Design Thinking;Técnico;16;2023-07-04;2023-07-06;Concluído;5,8;Híbrido;2;False
TR-000005;FUNC-0004;Liderança Situacional;Comportamental;16;2023-11-28;2023-11-30;Concluído;6,3;Presencial;2;False
TR-000006;FUNC-0004;Python para Análise de Dados;Técnico;40;2024-11-05;2024-11-10;Concluído;7,3;EAD;5;False
TR-000007;FUNC-0005;Inglês Corporativo;Idioma;60;2024-11-28;2024-12-05;Concluído;8,9;EAD;7;False
TR-000008;FUNC-0005;Design Thinking;Técnico;16;2024-10-06;2024-10-08;Concluído;9,8;Híbrido;2;False
TR-000009;FUNC-0007;Power BI do Zero ao Avançado;Técnico;20;2017-10-14;2017-10-16;Concluído;7,3;EAD;2;False
TR-000010;FUNC-0007;Design Thinking;Técnico;16;2019-08-23;2019-08-25;Não Concluído;;Híbrido;2;False
TR-000011;FUNC-0008;Comunicação Não-Violenta;Comportamental;8;2023-04-05;2023-04-06;Concluído;6,1;Presencial;1;False
TR-000012;FUNC-0008;Python para Análise de Dados;Técnico;40;2022-12-20;2022-12-25;Concluído;7,7;EAD;5;False
TR-000013;FUNC-0008;Segurança do Trabalho NR-35;Obrigatório;4;2022-09-19;2022-09-20;Concluído;7,2;Presencial;1;False
TR-000014;FUNC-0010;Power BI do Zero ao Avançado;Técnico;20;2024-11-10;2024-11-12;Concluído;9,5;EAD;2;False
TR-000015;FUNC-0010;Onboarding Corporativo;Institucional;8;2024-08-02;2024-08-03;Concluído;7,2;Híbrido;1;False
TR-000016;FUNC-0010;Comunicação Não-Violenta;Comportamental;8;2024-11-12;2024-11-13;Concluído;6,2;Presencial;1;False
TR-000017;FUNC-0011;Comunicação Não-Violenta;Comportamental;8;2024-01-02;2024-01-03;Não Concluído;;Presencial;1;False
TR-000018;FUNC-0011;Python para Análise de Dados;Técnico;40;2024-01-30;2024-02-04;Concluído;7,3;EAD;5;False
TR-000019;FUNC-0012;LGPD na Prática;Compliance;4;2024-10-08;2024-10-09;Concluído;5,6;EAD;1;False
TR-000020;FUNC-0012;LGPD na Prática;Compliance;4;2023-10-03;2023-10-04;Concluído;7,3;EAD;1;False
TR-000021;FUNC-0012;Finanças para Não Financeiros;Técnico;12;2024-04-05;2024-04-06;Concluído;9,8;EAD;1;False
TR-000022;FUNC-0012;Power BI do Zero ao Avançado;Técnico;20;2023-04-24;2023-04-26;Não Concluído;;EAD;2;False
TR-000023;FUNC-0013;Vendas Consultivas B2B;Técnico;16;2021-11-23;2021-11-25;Concluído;8,4;Presencial;2;False
TR-000024;FUNC-0013;Python para Análise de Dados;Técnico;40;2019-07-07;2019-07-12;Concluído;9,2;EAD;5;False
TR-000025;FUNC-0013;Python para Análise de Dados;Técnico;40;2019-07-25;2019-07-30;Concluído;8,3;EAD;5;False
TR-000026;FUNC-0013;LGPD na Prática;Compliance;4;2021-10-29;2021-10-30;Concluído;8,4;EAD;1;False
TR-000027;FUNC-0014;Liderança Situacional;Comportamental;16;2024-08-24;2024-08-26;Concluído;5,9;Presencial;2;False
TR-000028;FUNC-0014;Finanças para Não Financeiros;Técnico;12;2024-05-16;2024-05-17;Concluído;6,5;EAD;1;False
TR-000029;FUNC-0014;Excel Avançado;Técnico;8;2024-06-12;2024-06-13;Concluído;6,5;EAD;1;False
TR-000030;FUNC-0014;Segurança do Trabalho NR-35;Obrigatório;4;2024-08-20;2024-08-21;Concluído;7,2;Presencial;1;False
TR-000031;FUNC-0015;Onboarding Corporativo;Institucional;8;2023-05-02;2023-05-03;Concluído;5,5;Híbrido;1;False
TR-000032;FUNC-0015;Python para Análise de Dados;Técnico;40;2023-09-05;2023-09-10;Não Concluído;;EAD;5;False
TR-000033;FUNC-0015;Gestão Ágil de Projetos;Técnico;24;2023-10-13;2023-10-16;Não Concluído;;Híbrido;3;False
